3.17125e+0 1.34207e-1
3.18111e+0 1.25517e-1
3.19097e+0 1.16828e-1
3.20082e+0 1.08138e-1
3.21068e+0 9.97701e-2
3.22136e+0 9.14023e-2
3.23285e+0 8.30345e-2
3.24353e+0 7.46667e-2
3.25667e+0 6.62989e-2
3.26817e+0 5.82529e-2
3.28214e+0 5.02069e-2
3.29692e+0 4.24828e-2
3.31170e+0 3.50805e-2
3.32731e+0 2.83218e-2
3.34538e+0 2.15632e-2
3.36345e+0 1.57701e-2
3.38316e+0 1.06207e-2
3.40452e+0 6.11494e-3
3.42669e+0 2.89655e-3
3.45051e+0 3.21839e-4
3.47433e+0 0.00000e+0
3.49897e+0 6.43678e-4
3.52197e+0 2.57471e-3
3.54579e+0 6.43678e-3
3.56797e+0 1.02989e-2
3.58768e+0 1.51264e-2
3.60657e+0 2.02759e-2
3.62546e+0 2.67126e-2
3.64435e+0 3.28276e-2
3.66160e+0 3.92644e-2
